n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
300,5,1,0.9084773453850108,23,0.9080035540974642,0.908954962272954,7.0,0.9082404497412375,25.0
600,2,1,0.9085457039246578,11,0.9081402501537831,0.9090480288435773,5.0,0.9083429770392204,11.0
400,5,2,0.9084260866997773,26,0.9082085981819424,0.9091564614152491,4.0,0.9083173424408599,15.0
300,2,3,0.9083919103498116,36,0.9081402501537831,0.9091110372529531,5.0,0.9082660802517973,23.0
600,4,4,0.9081526782359369,53,0.9077985100129862,0.9087929494537605,10.0,0.9079755941244616,40.0
600,2,4,0.9081526782359369,53,0.9077985100129862,0.9087929494537605,10.0,0.9079755941244616,40.0
700,5,2,0.9085798814425667,9,0.9081402501537831,0.9090973891552584,5.0,0.908360065798175,10.0
100,4,3,0.908289378964028,47,0.9079352060693049,0.9089240987037995,8.0,0.9081122925166665,29.0
700,4,3,0.9084089996927375,28,0.9080035540974642,0.9089837445340708,7.0,0.9082062768951009,26.0
800,3,4,0.9081355923968402,57,0.9078668580411455,0.9088564306754775,9.0,0.9080012252189928,37.0
500,5,3,0.9083064729787262,44,0.9078668580411455,0.9088540723772697,9.0,0.9080866655099359,34.0
600,5,1,0.9086311354560278,7,0.9084136422664206,0.9093618676510562,1.0,0.9085223888612242,2.0
400,4,1,0.9083919115177547,35,0.9081402501537831,0.9090801945669106,5.0,0.9082660808357689,22.0
700,5,1,0.9086311366239709,6,0.9084136422664206,0.9093565777028857,1.0,0.9085223894451957,1.0
700,3,1,0.9086824034848058,2,0.9080719021256237,0.9089885561475326,6.0,0.9083771528052147,7.0
100,2,4,0.9083235611537092,38,0.9078668580411455,0.9088442717865598,9.0,0.9080952095974273,31.0
600,2,3,0.908323559985766,42,0.9078668580411455,0.9088567338532106,9.0,0.9080952090134558,32.0
500,4,3,0.9083064729787262,44,0.9078668580411455,0.9088540723772697,9.0,0.9080866655099359,34.0
400,5,4,0.9081185065577434,58,0.9080035540974642,0.9089895389295899,7.0,0.9080610303276038,35.0
400,2,1,0.9086824046527487,1,0.9078668580411455,0.9087668549026534,9.0,0.9082746313469472,20.0
500,2,1,0.9086653188136521,4,0.9081402501537831,0.9090480288435773,5.0,0.9084027844837176,4.0
300,2,2,0.9085456980849425,15,0.9081402501537831,0.9090879022800753,5.0,0.9083429741193627,12.0
800,3,3,0.9084089985247945,31,0.9077985100129862,0.9087833054133317,10.0,0.9081037542688903,30.0
400,5,3,0.9083235599857661,40,0.9080035540974642,0.9089839775774942,7.0,0.9081635570416151,27.0
200,5,2,0.9085969649457772,8,0.9082085981819424,0.9091582535234118,4.0,0.9084027815638598,5.0
100,3,4,0.9083235611537092,38,0.9078668580411455,0.9088442717865598,9.0,0.9080952095974273,31.0
400,4,2,0.9084773500567831,22,0.9082769462101018,0.909240424960827,3.0,0.9083771481334424,9.0
400,3,1,0.9086653199815952,3,0.9078668580411455,0.9087977699560364,9.0,0.9082660890113703,21.0
600,5,2,0.9085457039246578,11,0.9080719021256237,0.909025326586508,6.0,0.9083088030251407,16.0
300,4,1,0.9085627944355268,10,0.9080719021256237,0.9090088524733478,6.0,0.9083173482805753,13.0
700,3,4,0.9081868545859028,50,0.9077985100129862,0.9087929494537605,10.0,0.9079926822994444,38.0
700,2,4,0.9081868545859028,50,0.9077985100129862,0.9087929494537605,10.0,0.9079926822994444,38.0
700,5,4,0.9081868545859028,50,0.9077985100129862,0.9087929494537605,10.0,0.9079926822994444,38.0
100,4,2,0.9084431713709311,24,0.9077301619848267,0.9086732043684087,11.0,0.9080866666778789,33.0
800,2,2,0.9084944358958799,20,0.9081402501537831,0.9091044153256177,5.0,0.9083173430248315,14.0
800,2,3,0.9084089985247945,31,0.9077985100129862,0.9087833054133317,10.0,0.9081037542688903,30.0
200,5,3,0.9084089996927376,27,0.9082085981819424,0.9091768791219286,4.0,0.90830879893734,18.0
800,4,1,0.908528618085561,17,0.9083452942382613,0.9092807298687061,2.0,0.9084369561619111,3.0
300,4,2,0.9085456980849425,15,0.9081402501537831,0.9090879022800753,5.0,0.9083429741193627,12.0
