n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
500,5,4,0.8032160024737969,56,0.8032943749572825,0.8027463603923599,8.0,0.8032551887155397,31.0
800,4,3,0.8036602891836372,13,0.8034994190417607,0.8029324821498626,5.0,0.8035798541126989,10.0
700,2,1,0.803762825241193,6,0.8030893308728043,0.8024582432556018,11.0,0.8034260780569986,17.0
300,3,1,0.803335632546051,38,0.8034994190417607,0.8028722646951528,5.0,0.8034175257939058,19.0
100,3,3,0.8032160153211707,54,0.8032943749572825,0.8026680905089059,8.0,0.8032551951392266,30.0
700,3,1,0.803489423785011,29,0.8032260269291231,0.8026415752717986,9.0,0.8033577253570671,23.0
500,5,1,0.8039678763333296,1,0.8034310710136012,0.802820303477126,6.0,0.8036994736734654,2.0
400,2,3,0.8032330964884951,47,0.8034994190417607,0.8029250238653586,5.0,0.8033662577651279,22.0
800,4,1,0.803591942323421,19,0.8036361150980794,0.8030017676672353,3.0,0.8036140287107503,9.0
400,5,4,0.803233095320552,50,0.803020982844645,0.802498086088715,12.0,0.8031270390825984,34.0
200,2,3,0.8035577636375689,23,0.8030893308728043,0.8025152137087471,11.0,0.8033235472551866,26.0
400,3,4,0.803233095320552,50,0.803020982844645,0.802498086088715,12.0,0.8031270390825984,34.0
400,4,4,0.803233095320552,50,0.803020982844645,0.802498086088715,12.0,0.8031270390825984,34.0
100,3,1,0.8029426173688177,60,0.8022691545348917,0.8015383290280673,17.0,0.8026058859518547,37.0
500,4,1,0.8037628194014776,7,0.8035677670699201,0.8029385986806717,4.0,0.8036652932356989,6.0
100,4,4,0.803267275174347,42,0.8024741986193699,0.8019020181468204,16.0,0.8028707368968584,36.0
100,3,4,0.803267275174347,42,0.8024741986193699,0.8019020181468204,16.0,0.8028707368968584,36.0
300,3,3,0.8033014503563698,39,0.8033627229854419,0.8028311248538368,7.0,0.8033320866709058,25.0
600,4,3,0.8035065026164494,25,0.803020982844645,0.8024671260052706,12.0,0.8032637427305471,29.0
500,4,3,0.8034552380915008,33,0.8032260269291231,0.8026519978390909,9.0,0.803340632510312,24.0
600,4,4,0.8034723262664836,32,0.803020982844645,0.802516482415747,12.0,0.8032466545555643,32.0
800,5,3,0.8036602891836372,13,0.8034994190417607,0.8029324821498626,5.0,0.8035798541126989,10.0
400,4,3,0.8032330964884951,47,0.8034994190417607,0.8029250238653586,5.0,0.8033662577651279,22.0
700,4,4,0.8035577659734552,21,0.8033627229854419,0.8028299878919458,7.0,0.8034602444794485,15.0
500,5,3,0.8034552380915008,33,0.8032260269291231,0.8026519978390909,9.0,0.803340632510312,24.0
200,5,4,0.8032672693346317,45,0.8029526348164856,0.8023974180652234,13.0,0.8031099520755587,35.0
100,4,2,0.803643212688085,16,0.8031576789009637,0.8025315839923655,10.0,0.8034004457945243,20.0
600,5,3,0.8035065026164494,25,0.803020982844645,0.8024671260052706,12.0,0.8032637427305471,29.0
500,2,3,0.8034552380915008,33,0.8032260269291231,0.8026519978390909,9.0,0.803340632510312,24.0
400,2,2,0.8034210675812501,36,0.803909507210717,0.8033369145060154,1.0,0.8036652873959835,7.0
800,5,2,0.8036944702053752,10,0.8033627229854419,0.8028206028299686,7.0,0.8035285965954085,12.0
600,5,1,0.8039678728295004,2,0.8035677670699201,0.8029705614752932,4.0,0.8037678199497102,1.0
300,5,2,0.8034894226170679,30,0.8028842867883261,0.8023136165196479,14.0,0.803186854702697,33.0
800,2,3,0.8036602891836372,13,0.8034994190417607,0.8029324821498626,5.0,0.8035798541126989,10.0
400,5,1,0.8037115607162444,9,0.8028159387601668,0.8022052627742889,15.0,0.8032637497382056,28.0
200,2,2,0.803284365685216,41,0.8033627229854419,0.8027777659309634,7.0,0.8033235443353289,27.0
200,5,3,0.8035577636375689,23,0.8030893308728043,0.8025152137087471,11.0,0.8033235472551866,26.0
700,2,3,0.8035748471407795,20,0.8034310710136012,0.8028850755568269,6.0,0.8035029590771904,14.0
100,3,2,0.803643212688085,16,0.8031576789009637,0.8025315839923655,10.0,0.8034004457945243,20.0
